HHID,PERSONS,income,VEHICL,TAZ,workers,HHT,w_income,w_vot
120000408,1,263915.7856757642,0,17,1,4,1.0,2.225540928492468
120000409,1,52783.15711490725,1,17,0,4,1.0,2.225540928492468
120000412,2,105566.3142298145,0,17,1,5,1.0,2.225540928492468
120000413,2,38072.60597871624,1,17,1,3,1.0,0.44932896411722156
120000414,1,263915.7856757642,1,17,1,6,1.0,2.225540928492468
120000417,4,160107.22862468503,1,17,2,1,1.0,0.7439863102094392
120000419,2,89731.36709736686,1,17,0,1,1.0,2.225540928492468
120000422,2,330731.2787902789,2,19,2,1,1.0,0.4995138982911621
120000423,2,0.0,1,19,1,3,1.0,2.225540928492468
120000425,2,0.0,2,19,2,1,1.0,1.3218695156593925
120000433,2,290115.1568452913,2,19,2,3,1.0,0.4995138982911621
120000436,2,580230.3134680286,1,19,2,1,1.0,0.4995138982911621
120000437,2,95009.6828149313,1,19,1,1,1.0,2.225540928492468
120000439,2,420666.9771919906,2,19,2,1,1.0,0.4995138982911621
120000441,4,356841.6427705971,2,19,2,1,1.0,0.9126221254114719
120001001,2,118762.1035237255,2,11,1,1,1.0,2.225540928492468
120001002,4,580230.3134680286,2,11,2,1,1.0,1.2734770921894032
120001003,3,301719.7630834943,4,11,2,5,1.0,0.4995138982911621
120001004,1,0.0,1,11,0,6,1.0,2.225540928492468
120001015,4,188730.00563099276,4,11,2,1,1.0,1.3218695156593925
120001017,2,0.0,2,11,0,1,1.0,0.44932896411722156
120001019,2,16400.507190278586,1,11,0,1,1.0,1.4562422919850013
120001021,2,0.0,2,11,0,5,1.0,1.4562422919850013
120001027,1,145153.68207105633,2,11,1,4,1.0,2.225540928492468
120001031,3,87106.15647220184,2,11,1,1,1.0,1.3218695156593925
120001032,4,293016.30834920355,3,11,3,1,1.0,0.9126221254114719
120001033,4,0.0,3,11,2,1,1.0,1.3218695156593925
120001036,2,348138.1880363063,4,11,2,1,1.0,0.4995138982911621
120001037,5,138759.5981501277,3,11,2,1,1.0,0.7439863102094392
120001039,4,155837.70253959933,2,11,2,1,1.0,0.7439863102094392
120001040,2,145153.68207105633,1,11,1,1,1.0,2.225540928492468
120001042,1,145153.68207105633,1,11,1,4,1.0,2.225540928492468
120010201,2,219050.10209671236,2,10,1,1,1.0,2.225540928492468
120010202,5,147298.6503366754,2,10,2,5,1.0,0.7439863102094392
120010205,5,232092.12543172226,4,10,2,5,1.0,0.9126221254114719
120010210,2,95009.6828149313,1,10,1,1,1.0,2.225540928492468
120010212,4,157972.46557395405,2,10,2,1,1.0,0.7439863102094392
120010214,3,67749.23280965016,1,10,1,1,1.0,1.3218695156593925
120010215,2,33874.61640482508,1,10,2,5,1.0,1.3218695156593925
120010217,5,89660.04803244382,2,10,1,1,1.0,0.7439863102094392
120010221,3,183890.7747663988,1,10,2,1,1.0,1.3218695156593925
120010222,2,176631.92840454282,0,21,2,1,1.0,1.3218695156593925
120010224,3,154855.389281852,3,21,3,5,1.0,1.3218695156593925
120010226,4,102468.62632045348,2,21,2,1,1.0,0.7439863102094392
120010227,5,64042.89145642452,2,21,2,1,1.0,0.7439863102094392
120010231,2,17571.971990867998,2,21,0,1,1.0,1.4562422919850013
120010232,4,149433.41338740638,2,21,1,1,1.0,0.7439863102094392
120010233,2,11714.647992414235,1,21,0,1,1.0,1.4562422919850013
120010234,2,261103.64113850676,1,21,2,1,1.0,0.4995138982911621
120010240,2,200828.08302449563,3,21,2,1,1.0,1.3218695156593925
120010242,4,96064.3371846368,0,21,1,1,1.0,0.7439863102094392
120010401,3,591834.9197062316,2,19,2,1,1.0,0.4995138982911621
120010402,2,0.0,0,19,0,3,1.0,2.225540928492468
120010405,2,406161.2194498754,1,19,2,5,1.0,0.4995138982911621
120010406,1,0.0,0,19,1,6,1.0,2.225540928492468
120010408,2,48392.30914709848,1,19,2,1,1.0,1.3218695156593925
120010415,1,95009.6828149313,1,19,1,6,1.0,2.225540928492468
120010422,3,580230.3134680286,1,26,2,1,1.0,0.4995138982911621
120010424,4,213476.30490933597,1,26,1,1,1.0,0.7439863102094392
120010425,1,145153.68207105633,1,26,1,4,1.0,2.225540928492468
120010427,2,84453.05137980246,2,26,0,1,1.0,2.225540928492468
120010430,1,263915.7856757642,1,26,1,6,1.0,2.225540928492468
120010432,1,145153.68207105633,1,26,1,6,1.0,2.225540928492468
120010434,4,493195.766570229,1,26,2,1,1.0,1.2734770921894032
120010437,5,449678.49289877515,1,26,1,1,1.0,1.2734770921894032
120010438,1,263915.7856757642,1,26,1,4,1.0,2.225540928492468
120010439,2,362643.9460009757,1,26,2,1,1.0,0.4995138982911621
120010440,2,28115.15518269282,1,26,1,5,1.0,0.44932896411722156
120010442,1,118762.1035237255,0,26,1,6,1.0,2.225540928492468
120010501,3,174212.31294440367,2,4,2,1,1.0,1.3218695156593925
120010503,3,87106.15647220184,3,4,3,1,1.0,1.3218695156593925
120010504,1,184741.04991229816,2,4,1,4,1.0,2.225540928492468
120010508,4,33874.61640482508,3,4,3,1,1.0,1.3218695156593925
120010521,3,135498.46561930032,2,4,2,1,1.0,1.3218695156593925
120010523,1,145153.68207105633,1,13,1,6,1.0,2.225540928492468
120010526,2,290115.1568452913,2,13,2,1,1.0,0.4995138982911621
120010528,2,11714.647992414235,1,13,0,1,1.0,1.4562422919850013
120010529,2,11714.647992414235,1,13,0,1,1.0,1.4562422919850013
120010530,2,319126.67232952174,2,13,2,1,1.0,0.4995138982911621
120010531,2,95009.6828149313,2,13,1,1,1.0,2.225540928492468
120010532,2,168906.10277985054,2,13,1,1,1.0,2.225540928492468
120010534,4,119546.7307099251,2,13,1,1,1.0,0.7439863102094392
120010535,1,0.0,0,13,0,6,1.0,0.44932896411722156
120010540,1,26391.57856757642,1,13,1,6,1.0,2.225540928492468
120010542,2,26357.957986301997,1,13,1,5,1.0,0.44932896411722156
120020103,2,17571.971990867998,2,15,0,1,1.0,0.44932896411722156
120020105,2,195988.8520299716,2,15,2,1,1.0,1.3218695156593925
120020106,1,73896.41996491926,1,15,1,4,1.0,2.225540928492468
120020108,1,0.0,1,15,1,4,1.0,2.225540928492468
120020112,2,84453.05137980246,1,15,1,3,1.0,2.225540928492468
120020113,5,580230.3134680286,2,15,1,1,1.0,1.2734770921894032
120020116,2,11714.647992414235,1,15,0,1,1.0,1.4562422919850013
120020117,1,52783.15711490725,1,15,1,6,1.0,2.225540928492468
120020119,3,176631.92840454282,4,15,3,1,1.0,1.3218695156593925
120020120,1,118762.1035237255,1,15,1,4,1.0,2.225540928492468
120020123,2,203247.69842895048,3,32,2,1,1.0,1.3218695156593925
120020126,4,0.0,3,32,1,1,1.0,0.7439863102094392
120020129,1,0.0,0,32,0,4,1.0,0.44932896411722156
120020130,3,374248.5522391786,4,32,2,1,1.0,0.4995138982911621
120020131,2,420666.9771919906,2,32,2,1,1.0,0.4995138982911621
120020133,6,293016.30834920355,4,32,2,1,1.0,1.2734770921894032
120020135,2,176631.92840454282,2,32,2,1,1.0,1.3218695156593925
120020137,3,200828.08302449563,2,32,2,1,1.0,1.3218695156593925
120020138,4,449678.49289877515,2,32,2,1,1.0,1.2734770921894032
120020139,1,2342.929598482847,1,32,0,6,1.0,0.44932896411722156
120020140,2,105566.3142298145,2,32,0,1,1.0,2.225540928492468
120020141,2,0.0,2,32,0,1,1.0,0.44932896411722156
120020202,2,11714.647992414235,0,5,0,3,1.0,0.44932896411722156
120020203,5,403260.0679459632,3,5,2,1,1.0,1.2734770921894032
120020206,5,106738.15242191545,2,5,1,1,1.0,0.7439863102094392
120020207,2,2342.929598482847,1,5,0,1,1.0,1.4562422919850013
120020208,5,213476.30490933597,2,5,2,1,1.0,0.7439863102094392
120020209,1,36948.20998245963,1,5,0,4,1.0,2.225540928492468
120020212,4,0.0,3,5,0,1,1.0,2.225540928492468
120020214,2,0.0,2,5,2,1,1.0,1.3218695156593925
120020215,4,87106.15647220184,2,5,3,1,1.0,1.3218695156593925
120020216,5,81120.99584589615,2,5,1,1,1.0,0.7439863102094392
120020217,2,11714.647992414235,2,5,0,1,1.0,1.4562422919850013
120020220,3,157275.00474199114,2,5,2,1,1.0,1.3218695156593925
120020221,4,452579.64462524146,3,5,3,1,1.0,0.9126221254114719
120020222,4,452579.64462524146,4,6,4,1,1.0,0.9126221254114719
120020225,4,147298.6503366754,2,6,2,1,1.0,0.7439863102094392
120020226,2,147792.83992983852,2,6,1,1,1.0,2.225540928492468
120020228,3,217765.39122690816,3,6,2,1,1.0,1.3218695156593925
120020229,2,105566.3142298145,2,6,1,3,1.0,2.225540928492468
120020230,4,138759.5981501277,2,6,2,1,1.0,0.7439863102094392
120020231,2,11714.647992414235,1,6,0,1,1.0,1.4562422919850013
120020233,3,371347.4007352664,5,6,3,1,1.0,0.9126221254114719
120020234,1,10556.631422981449,1,6,1,6,1.0,2.225540928492468
120020235,2,0.0,2,6,2,1,1.0,1.3218695156593925
120020236,2,190019.3656298626,2,6,1,1,1.0,2.225540928492468
120020238,3,21347.630490933596,1,6,1,5,1.0,0.7439863102094392
120020239,4,117411.96765919412,2,6,2,1,1.0,0.7439863102094392
120020241,5,157972.46557395405,1,6,1,1,1.0,0.7439863102094392
120020302,2,5857.323998453762,0,21,0,1,1.0,1.4562422919850013
120020303,2,95009.6828149313,1,21,1,3,1.0,2.225540928492468
120020306,4,174212.31294440367,2,21,2,1,1.0,1.3218695156593925
120020308,2,52783.15711490725,1,21,0,3,1.0,2.225540928492468
120020309,3,108882.69559489266,1,21,1,1,1.0,1.3218695156593925
120020310,2,237524.2070879422,1,21,1,1,1.0,2.225540928492468
120020317,2,8200.253595139293,1,21,0,3,1.0,1.4562422919850013
120020321,2,333632.43029419106,1,21,2,1,1.0,0.4995138982911621
120020322,4,330731.2787902789,3,21,2,1,1.0,0.9126221254114719
120020325,3,48392.30914709848,2,21,2,1,1.0,1.3218695156593925
120020326,3,169373.08202412538,2,21,2,5,1.0,1.3218695156593925
120020327,1,26357.957986301997,1,21,0,4,1.0,0.44932896411722156
120020330,1,73896.41996491926,1,21,1,4,1.0,2.225540928492468
120020331,6,394556.61321167235,2,21,3,1,1.0,1.2734770921894032
120020334,3,330731.2787902789,2,21,1,5,1.0,0.4995138982911621
120020338,4,580230.3134680286,3,21,2,1,1.0,1.2734770921894032
120020341,1,5857.323998453762,1,21,0,4,1.0,0.44932896411722156
120021001,2,11714.647992414235,2,11,0,1,1.0,1.4562422919850013
120021003,3,181471.15930625965,3,11,1,5,1.0,1.3218695156593925
120021005,2,0.0,1,11,0,1,1.0,1.4562422919850013
120021006,2,171545.26063863275,2,11,1,1,1.0,2.225540928492468
120021007,2,63339.78855003605,2,11,0,3,1.0,2.225540928492468
120021018,1,2342.929598482847,1,11,0,4,1.0,0.44932896411722156
120021021,2,580230.3134680286,1,11,2,1,1.0,0.4995138982911621
120021026,2,261103.64113850676,2,11,2,1,1.0,0.4995138982911621
120021037,3,24600.760785417882,2,11,1,5,1.0,0.44932896411722156
120021041,1,26391.57856757642,0,11,0,4,1.0,2.225540928492468
120030105,5,213476.30490933597,1,1,1,1,1.0,0.7439863102094392
120030106,2,213771.78629816556,2,1,1,1,1.0,2.225540928492468
120030112,5,574428.0104602041,3,1,3,5,1.0,1.2734770921894032
120030113,5,0.0,2,1,2,1,1.0,0.7439863102094392
120030114,3,28115.15518269282,2,1,0,5,1.0,0.44932896411722156
120030116,2,362643.9460009757,2,1,2,1,1.0,0.4995138982911621
120030117,2,0.0,2,1,1,1,1.0,0.44932896411722156
120030119,5,136624.8350993967,2,1,3,1,1.0,0.7439863102094392
120030124,4,213476.30490933597,2,28,1,1,1.0,0.7439863102094392
120030125,1,0.0,1,28,1,4,1.0,2.225540928492468
120030126,1,58573.23998453763,1,28,1,6,1.0,0.44932896411722156
120030129,1,10556.631422981449,1,28,1,6,1.0,2.225540928492468
120030130,1,5857.323998453762,0,28,0,6,1.0,0.44932896411722156
120030132,2,181471.15930625965,2,28,2,1,1.0,1.3218695156593925
120030133,2,64430.56394255177,2,28,0,1,1.0,1.4562422919850013
120030134,2,36948.20998245963,1,28,0,5,1.0,2.225540928492468
120030135,3,87106.15647220184,2,28,1,1,1.0,1.3218695156593925
120030136,2,121401.2613622621,2,28,1,1,1.0,2.225540928492468
120030138,2,580230.3134680286,1,28,2,1,1.0,0.4995138982911621
120030139,1,58573.23998453763,1,28,0,6,1.0,0.44932896411722156
120030140,1,184741.04991229816,1,28,1,4,1.0,2.225540928492468
120030202,4,38713.84732510336,4,5,2,3,1.0,1.3218695156593925
120030203,2,126679.5770798265,2,5,0,1,1.0,2.225540928492468
120030204,1,73896.41996491926,1,5,1,4,1.0,2.225540928492468
120030212,4,147298.6503366754,2,5,2,1,1.0,0.7439863102094392
120030215,1,0.0,1,5,0,4,1.0,0.44932896411722156
120030217,4,406161.2194498754,2,5,3,1,1.0,1.2734770921894032
120030218,3,79174.73568248366,2,5,0,5,1.0,2.225540928492468
120030219,4,213476.30490933597,2,5,1,1,1.0,0.7439863102094392
120030221,5,319126.67232952174,2,5,2,1,1.0,1.2734770921894032
120030226,4,388754.3099812938,4,6,3,1,1.0,0.9126221254114719
120030229,4,102468.62632045348,2,6,2,1,1.0,0.7439863102094392
120030231,3,240795.580166013,3,6,3,1,1.0,0.9126221254114719
120030232,3,63259.099168922105,2,6,0,3,1.0,1.4562422919850013
120030233,2,406161.2194498754,1,6,2,1,1.0,0.4995138982911621
120030234,2,264004.792642419,2,6,2,1,1.0,0.4995138982911621
120030235,3,142757.31199971773,2,6,1,1,1.0,1.3218695156593925
120030236,2,21086.366388142942,2,6,1,1,1.0,0.44932896411722156
120030238,3,362643.9460009757,2,6,2,1,1.0,0.4995138982911621
120030239,1,145153.68207105633,1,6,1,6,1.0,2.225540928492468
120030240,2,23429.29598482847,1,6,0,1,1.0,1.4562422919850013
120030301,3,319126.67232952174,1,31,2,1,1.0,0.4995138982911621
120030303,1,36948.20998245963,0,31,0,6,1.0,2.225540928492468
120030304,4,157972.46557395405,1,31,1,1,1.0,0.7439863102094392
120030306,4,172915.80689631842,2,31,2,1,1.0,0.7439863102094392
120030307,1,118762.1035237255,0,31,1,4,1.0,2.225540928492468
120030310,2,184741.04991229816,1,31,1,3,1.0,2.225540928492468
120030311,2,493195.766570229,1,31,2,3,1.0,0.4995138982911621
120030317,3,580230.3134680286,2,31,2,1,1.0,0.4995138982911621
120030318,3,580230.3134680286,1,31,2,1,1.0,0.4995138982911621
120030319,1,73896.41996491926,0,31,0,4,1.0,2.225540928492468
120030320,4,38713.84732510336,2,31,3,1,1.0,1.3218695156593925
120030323,2,169373.08202412538,1,31,2,1,1.0,1.3218695156593925
120030324,4,580230.3134680286,2,31,2,1,1.0,1.2734770921894032
120030326,1,95009.6828149313,0,31,1,4,1.0,2.225540928492468
120030327,2,264004.792642419,0,31,2,3,1.0,0.4995138982911621
120030328,4,35143.94397724271,1,31,1,1,1.0,1.4562422919850013
120030329,2,290115.1568452913,2,31,2,1,1.0,0.4995138982911621
120030332,2,580230.3134680286,3,31,2,1,1.0,0.4995138982911621
120030338,3,205667.31383340532,1,31,1,5,1.0,1.3218695156593925
120030401,2,52783.15711490725,1,30,1,5,1.0,2.225540928492468
120030404,3,116141.54195674862,0,30,2,1,1.0,1.3218695156593925
120030405,4,42695.260965490925,1,30,0,1,1.0,0.7439863102094392
120030407,3,42695.260965490925,1,30,1,5,1.0,0.7439863102094392
120030409,2,184741.04991229816,2,30,1,1,1.0,2.225540928492468
120030410,2,14057.577593593056,2,30,0,1,1.0,1.4562422919850013
120030411,2,26391.57856757642,1,30,0,3,1.0,2.225540928492468
120030412,4,125820.0037973052,4,30,2,1,1.0,1.3218695156593925
120030418,2,174212.31294440367,1,30,2,1,1.0,1.3218695156593925
120030419,5,0.0,0,30,1,1,1.0,0.7439863102094392
120030421,2,26391.57856757642,0,30,0,5,1.0,2.225540928492468
120030423,2,121401.2613622621,2,30,1,5,1.0,2.225540928492468
120030424,3,135498.46561930032,1,30,1,1,1.0,1.3218695156593925
120030426,2,36948.20998245963,2,30,1,1,1.0,2.225540928492468
120030427,2,174212.31294440367,2,30,2,3,1.0,1.3218695156593925
120030430,2,284312.8536149128,2,30,1,1,1.0,0.4995138982911621
120030432,2,47504.84139734284,1,30,0,1,1.0,2.225540928492468
120030433,4,234993.27693563444,3,30,3,1,1.0,0.9126221254114719
120030435,1,145153.68207105633,1,30,1,6,1.0,2.225540928492468
120030436,3,157275.00474199114,2,30,1,1,1.0,1.3218695156593925
120040112,1,36948.20998245963,1,18,0,6,1.0,2.225540928492468
120040117,1,263915.7856757642,1,18,1,4,1.0,2.225540928492468
120040119,3,0.0,2,18,3,0,1.0,1.3218695156593925
120040120,4,76851.46974443417,1,18,1,1,1.0,0.7439863102094392
120040123,3,362643.9460009757,2,28,2,1,1.0,0.4995138982911621
120040125,4,154855.389281852,3,28,2,5,1.0,1.3218695156593925
120040126,2,0.0,1,28,1,5,1.0,2.225540928492468
120040127,2,4685.859197864352,1,28,0,1,1.0,1.4562422919850013
120040130,1,263915.7856757642,1,28,1,4,1.0,2.225540928492468
120040131,3,493195.766570229,2,28,2,1,1.0,0.4995138982911621
120040132,4,234823.93525288315,2,28,1,1,1.0,0.7439863102094392
120040135,8,132355.30899793477,2,28,1,1,1.0,0.7439863102094392
120040137,2,23429.29598482847,2,28,1,1,1.0,1.4562422919850013
120040138,4,194263.43740362828,2,28,2,1,1.0,0.7439863102094392
120040139,1,145153.68207105633,1,28,1,6,1.0,2.225540928492468
120040140,2,129318.73493860872,1,28,1,1,1.0,2.225540928492468
120040142,6,0.0,5,28,2,1,1.0,0.7439863102094392
120040205,3,116141.54195674862,2,6,1,1,1.0,1.3218695156593925
120040208,4,85390.52193098185,2,6,1,1,1.0,0.7439863102094392
120040209,4,0.0,3,6,1,1,1.0,1.3218695156593925
120040210,2,36948.20998245963,2,6,1,1,1.0,2.225540928492468
120040211,4,72581.9436429722,1,6,1,1,1.0,0.7439863102094392
120040214,3,580230.3134680286,1,6,1,1,1.0,0.4995138982911621
120040216,2,176631.92840454282,2,6,2,1,1.0,1.3218695156593925
120040220,5,155837.70253959933,4,6,1,1,1.0,0.7439863102094392
120040223,5,0.0,1,6,0,1,1.0,1.4562422919850013
120040224,4,138759.5981501277,2,6,2,1,1.0,0.7439863102094392
120040226,4,0.0,2,6,1,1,1.0,0.7439863102094392
120040227,6,98199.1002189915,3,6,2,1,1.0,0.7439863102094392
120040231,2,0.0,3,6,2,1,1.0,1.4562422919850013
120040232,1,263915.7856757642,1,6,1,4,1.0,2.225540928492468
120040237,3,0.0,3,6,3,1,1.0,1.3218695156593925
120040238,4,89660.04803244382,2,6,2,1,1.0,0.7439863102094392
120040239,4,394556.61321167235,3,6,2,5,1.0,1.2734770921894032
120040301,1,263915.7856757642,1,7,1,6,1.0,2.225540928492468
120040303,3,38072.60597871624,1,7,1,1,1.0,1.4562422919850013
120040304,2,22257.83118873235,2,7,0,1,1.0,0.44932896411722156
120040305,1,21086.366388142942,1,7,0,4,1.0,0.44932896411722156
120040310,4,222015.3570795074,1,7,1,1,1.0,0.7439863102094392
120040312,1,0.0,0,7,1,6,1.0,2.225540928492468
120040315,1,5857.323998453762,1,7,0,4,1.0,0.44932896411722156
120040316,1,26391.57856757642,0,7,0,6,1.0,2.225540928492468
120040318,1,0.0,0,7,0,4,1.0,2.225540928492468
120040321,2,406161.2194498754,0,7,1,1,1.0,0.4995138982911621
120040323,1,184741.04991229816,1,7,1,4,1.0,2.225540928492468
120040328,2,135498.46561930032,2,7,2,3,1.0,1.3218695156593925
120040331,2,11714.647992414235,0,7,0,1,1.0,1.4562422919850013
120040332,4,48392.30914709848,2,7,1,1,1.0,1.3218695156593925
120040335,4,264004.792642419,1,7,3,5,1.0,0.9126221254114719
120040336,3,135498.46561930032,2,7,2,1,1.0,1.3218695156593925
120040338,1,0.0,1,7,0,6,1.0,0.44932896411722156
120040339,3,21347.630490933596,1,7,0,5,1.0,0.7439863102094392
120040341,3,0.0,1,7,2,1,1.0,1.3218695156593925
120040503,3,116141.54195674862,2,22,1,5,1.0,1.3218695156593925
120040504,2,0.0,2,22,2,1,1.0,1.3218695156593925
120040505,4,580230.3134680286,2,22,2,1,1.0,1.2734770921894032
120040507,2,5857.323998453762,1,22,0,1,1.0,1.4562422919850013
120040510,4,490294.61484376265,3,22,4,1,1.0,0.9126221254114719
120040513,4,157275.00474199114,3,22,2,1,1.0,1.3218695156593925
120040515,2,23429.29598482847,2,22,0,1,1.0,1.4562422919850013
120040517,3,19914.901587553526,1,22,1,5,1.0,0.44932896411722156
120040518,4,256479.2384406429,2,22,1,1,1.0,1.3218695156593925
120040522,4,42695.260965490925,1,22,0,5,1.0,0.7439863102094392
120040523,4,400358.9162194968,4,22,4,1,1.0,0.9126221254114719
120040524,3,8200.253595139293,2,22,1,1,1.0,1.4562422919850013
120040525,5,106738.15242191545,2,22,1,1,1.0,0.7439863102094392
120040528,4,580230.3134680286,2,22,1,1,1.0,1.2734770921894032
120040530,4,157972.46557395405,1,22,1,1,1.0,0.7439863102094392
120040531,4,241961.54582829957,3,22,2,1,1.0,1.3218695156593925
120040532,1,145153.68207105633,1,22,1,4,1.0,2.225540928492468
120040533,1,145153.68207105633,1,22,1,4,1.0,2.225540928492468
120040534,2,22257.83118873235,2,22,0,1,1.0,1.4562422919850013
120040535,5,394556.61321167235,3,22,2,1,1.0,1.2734770921894032
120040536,1,16400.507190278586,0,22,0,6,1.0,0.44932896411722156
120040538,2,200828.08302449563,1,22,2,1,1.0,1.3218695156593925
120040539,2,23429.29598482847,2,22,0,1,1.0,1.4562422919850013
120040540,2,406161.2194498754,2,22,2,1,1.0,0.4995138982911621
120040542,2,0.0,1,22,0,1,1.0,2.225540928492468
120050101,2,333632.43029419106,2,1,2,1,1.0,0.4995138982911621
120050103,4,192128.67440202608,1,1,1,1,1.0,0.7439863102094392
120050104,2,406161.2194498754,1,1,2,1,1.0,0.4995138982911621
120050107,1,118762.1035237255,1,1,0,6,1.0,2.225540928492468
120050108,2,67749.23280965016,2,1,2,1,1.0,1.3218695156593925
120050112,2,11714.647992414235,1,1,0,1,1.0,1.4562422919850013
120050114,3,256479.2384406429,1,1,2,1,1.0,1.3218695156593925
120050115,1,145153.68207105633,2,1,1,6,1.0,2.225540928492468
120050117,4,179320.09606488765,2,1,2,1,1.0,0.7439863102094392
120050118,4,102468.62632045348,2,1,2,1,1.0,0.7439863102094392
120050120,2,169373.08202412538,2,1,2,1,1.0,1.3218695156593925
120050124,2,307522.06609131873,1,28,2,1,1.0,0.4995138982911621
120050125,2,147792.83992983852,2,28,1,1,1.0,2.225540928492468
120050126,2,264004.792642419,1,28,2,1,1.0,0.4995138982911621
120050127,4,203080.6097249377,1,28,4,1,1.0,0.9126221254114719
120050128,1,145153.68207105633,0,28,1,6,1.0,2.225540928492468
120050129,3,417765.8256880784,2,28,1,1,1.0,0.4995138982911621
120050131,1,11714.647992414235,1,28,0,4,1.0,0.44932896411722156
120050132,2,0.0,2,28,1,1,1.0,2.225540928492468
120050133,1,184741.04991229816,1,28,1,6,1.0,2.225540928492468
120050134,1,73896.41996491926,1,28,1,6,1.0,2.225540928492468
120050135,2,105566.3142298145,2,28,1,3,1.0,2.225540928492468
120050136,2,108882.69559489266,1,28,2,5,1.0,1.3218695156593925
120050140,2,0.0,2,28,0,1,1.0,2.225540928492468
120050141,2,193569.2366255168,2,28,2,5,1.0,1.3218695156593925
120050401,3,217765.39122690816,1,30,2,1,1.0,1.3218695156593925
120050403,3,67749.23280965016,2,30,3,1,1.0,1.3218695156593925
120050405,2,126679.5770798265,1,30,1,1,1.0,2.225540928492468
